Player,Pos,Neg,PPerc,NPerc
trae young,67,30,0.69,0.31
john collins,9,2,0.82,0.18
cam reddish,24,6,0.8,0.2
clint capela,0,2,0.0,1.0
bogdan bogdanovic,2,1,0.67,0.33
kevin huerter,6,2,0.75,0.25
gorgui dieng,0,1,0.0,1.0
danilo gallinari,0,1,0.0,1.0
de'andre hunter,5,4,0.56,0.44
lou williams,4,3,0.57,0.43
solomon hill,4,2,0.67,0.33
jalen johnson,0,1,0.0,1.0
jayson tatum,82,36,0.69,0.31
dennis schroder,26,5,0.84,0.16
grant williams,10,3,0.77,0.23
marcus smart,17,10,0.63,0.37
robert williams,0,1,0.0,1.0
payton pritchard,0,1,0.0,1.0
al horford,7,5,0.58,0.42
josh richardson,0,1,0.0,1.0
aaron nesmith,0,7,0.0,1.0
romeo langford,1,1,0.5,0.5
jaylen brown,23,15,0.61,0.39
jabari parker,0,4,0.0,1.0
enes kanter,3,1,0.75,0.25
sam hauser,7,3,0.7,0.3
kevin durant,34,9,0.79,0.21
james harden,114,43,0.73,0.27
patty mills,32,13,0.71,0.29
jevon carter,0,4,0.0,1.0
lamarcus aldridge,8,1,0.89,0.11
bruce brown,3,1,0.75,0.25
blake griffin,8,3,0.73,0.27
deandre' bembry,0,1,0.0,1.0
joe harris,6,4,0.6,0.4
cameron thomas,0,4,0.0,1.0
day'ron sharpe,0,1,0.0,1.0
nicolas claxton,0,3,0.0,1.0
kyrie irving,20,6,0.77,0.23
miles bridges,57,6,0.9,0.1
lamelo ball,85,36,0.7,0.3
gordon hayward,3,3,0.5,0.5
kelly oubre jr,36,10,0.78,0.22
cody martin,0,4,0.0,1.0
mason plumlee,4,2,0.67,0.33
jalen mcdaniels,3,1,0.75,0.25
ish smith,13,2,0.87,0.13
nick richards,6,1,0.86,0.14
terry rozier,13,11,0.54,0.46
james bouknight,6,2,0.75,0.25
kai jones,0,1,0.0,1.0
jt thor,0,1,0.0,1.0
demar derozan,136,38,0.78,0.22
zach lavine,79,26,0.75,0.25
lonzo ball,81,21,0.79,0.21
alex caruso,39,10,0.8,0.2
javonte green,8,2,0.8,0.2
ayo dosunmu,41,11,0.79,0.21
tony bradley,6,2,0.75,0.25
nikola vucevic,7,4,0.64,0.36
derrick jones jr,4,1,0.8,0.2
troy brown jr,2,1,0.67,0.33
alize johnson,0,2,0.0,1.0
patrick williams,4,1,0.8,0.2
matt thomas,1,1,0.5,0.5
coby white,3,2,0.6,0.4
ricky rubio,79,14,0.85,0.15
evan mobley,146,36,0.8,0.2
cedi osman,6,3,0.67,0.33
darius garland,11,3,0.79,0.21
jarrett allen,20,12,0.62,0.38
dean wade,5,1,0.83,0.17
dylan windler,0,2,0.0,1.0
collin sexton,13,7,0.65,0.35
denzel valentine,2,1,0.67,0.33
isaac okoro,0,2,0.0,1.0
lamar stevens,1,1,0.5,0.5
lauri markkanen,8,3,0.73,0.27
kevin love,0,35,0.0,1.0
tacko fall,2,1,0.67,0.33
ed davis,3,1,0.75,0.25
kevin pangos,0,1,0.0,1.0
rj nembhard,0,1,0.0,1.0
jalen brunson,47,11,0.81,0.19
tim hardaway jr,39,19,0.67,0.33
dwight powell,4,3,0.57,0.43
reggie bullock,9,1,0.9,0.1
willie cauley-stein,0,1,0.0,1.0
luka doncic,89,42,0.68,0.32
frank ntilikina,0,8,0.0,1.0
sterling brown,0,1,0.0,1.0
kristaps porzingis,12,6,0.67,0.33
boban marjanovic,4,1,0.8,0.2
josh green,0,3,0.0,1.0
maxi kleber,5,1,0.83,0.17
aaron gordon,13,2,0.87,0.13
monte morris,20,20,0.5,0.5
jeff green,8,4,0.67,0.33
pj dozier,29,11,0.72,0.28
jamychal green,0,1,0.0,1.0
nikola jokic,104,49,0.68,0.32
facundo campazzo,0,3,0.0,1.0
will barton,25,4,0.86,0.14
austin rivers,0,2,0.0,1.0
bones hyland,20,2,0.91,0.09
michael porter jr,4,3,0.57,0.43
zeke nnaji,0,2,0.0,1.0
bol bol,3,2,0.6,0.4
jamal murray,6,3,0.67,0.33
saddiq bey,6,1,0.86,0.14
isaiah stewart,0,1,0.0,1.0
frank jackson,0,1,0.0,1.0
cory joseph,5,1,0.83,0.17
jerami grant,11,2,0.85,0.15
josh jackson,0,2,0.0,1.0
killian hayes,14,9,0.61,0.39
kelly olynyk,0,4,0.0,1.0
cade cunningham,46,18,0.72,0.28
hamidou diallo,0,1,0.0,1.0
luka garza,3,3,0.5,0.5
rodney mcgruder,0,1,0.0,1.0
saben lee,0,1,0.0,1.0
chris smith,0,2,0.0,1.0
stephen curry,116,35,0.77,0.23
andrew wiggins,55,23,0.71,0.29
jordan poole,40,13,0.75,0.25
draymond green,19,9,0.68,0.32
nemanja bjelica,20,1,0.95,0.05
gary payton ii,20,9,0.69,0.31
kevon looney,10,4,0.71,0.29
otto porter,3,3,0.5,0.5
juan toscano anderson,1,1,0.5,0.5
andre iguodala,4,1,0.8,0.2
damion lee,4,2,0.67,0.33
moses moody,2,2,0.5,0.5
jonathan kuminga,17,3,0.85,0.15
chris chiozza,7,1,0.88,0.12
james wiseman,7,3,0.7,0.3
klay thompson,19,8,0.7,0.3
christian wood,8,4,0.67,0.33
jalen green,43,14,0.75,0.25
jae'sean tate,2,1,0.67,0.33
kevin porter jr,0,5,0.0,1.0
alperen sengun,10,3,0.77,0.23
kenyon martin jr,0,2,0.0,1.0
david nwaba,0,1,0.0,1.0
daniel theis,4,2,0.67,0.33
eric gordon,3,2,0.6,0.4
danuel house,0,1,0.0,1.0
usman garuba,0,1,0.0,1.0
john wall,1,1,0.5,0.5
domantas sabonis,11,8,0.58,0.42
myles turner,23,5,0.82,0.18
tj mcconnell,11,6,0.65,0.35
justin holiday,0,2,0.0,1.0
torrey craig,2,1,0.67,0.33
chris duarte,0,15,0.0,1.0
jeremy lamb,2,1,0.67,0.33
malcolm brogdon,0,4,0.0,1.0
goga bitadze,0,1,0.0,1.0
caris levert,4,2,0.67,0.33
oshae brissett,0,1,0.0,1.0
brad wanamaker,0,1,0.0,1.0
duane washington jr,0,3,0.0,1.0
paul george,26,4,0.87,0.13
reggie jackson,14,2,0.88,0.12
eric bledsoe,15,7,0.68,0.32
luke kennard,0,9,0.0,1.0
ivica zubac,1,1,0.5,0.5
terance mann,5,1,0.83,0.17
nicolas batum,11,1,0.92,0.08
isaiah hartenstein,6,2,0.75,0.25
brandon boston jr,1,1,0.5,0.5
jay scrubb,0,1,0.0,1.0
marcus morris,4,2,0.67,0.33
serge ibaka,0,1,0.0,1.0
kawhi leonard,11,8,0.58,0.42
anthony davis,23,12,0.66,0.34
russell westbrook,108,63,0.63,0.37
carmelo anthony,17,7,0.71,0.29
malik monk,34,8,0.81,0.19
avery bradley,8,1,0.89,0.11
kent bazemore,16,8,0.67,0.33
deandre jordan,3,2,0.6,0.4
dwight howard,22,5,0.81,0.19
rajon rondo,4,3,0.57,0.43
austin reaves,12,4,0.75,0.25
wayne ellington,0,1,0.0,1.0
lebron james,71,31,0.7,0.3
talen horton tucker,7,2,0.78,0.22
kendrick nunn,0,1,0.0,1.0
trevor ariza,0,1,0.0,1.0
ja morant,94,36,0.72,0.28
desmond bane,6,4,0.6,0.4
jaren jackson jr,0,1,0.0,1.0
de'anthony melton,0,1,0.0,1.0
kyle anderson,3,2,0.6,0.4
steven adams,0,7,0.0,1.0
tyus jones,4,3,0.57,0.43
john konchar,0,1,0.0,1.0
brandon clarke,0,6,0.0,1.0
xavier tillman sr,0,1,0.0,1.0
sam merrill,1,1,0.5,0.5
dillon brooks,3,2,0.6,0.4
tyler herro,82,26,0.76,0.24
duncan robinson,23,15,0.61,0.39
pj tucker,10,4,0.71,0.29
dewayne dedmon,3,1,0.75,0.25
kyle lowry,36,19,0.65,0.35
jimmy butler,29,13,0.69,0.31
bam adebayo,9,4,0.69,0.31
caleb martin,0,2,0.0,1.0
markieff morris,2,1,0.67,0.33
max strus,0,6,0.0,1.0
udonis haslem,0,5,0.0,1.0
victor oladipo,3,3,0.5,0.5
grayson allen,28,6,0.82,0.18
pat connaughton,17,4,0.81,0.19
jordan nwora,13,2,0.87,0.13
giannis antetokounmpo,77,16,0.83,0.17
george hill,0,7,0.0,1.0
thanasis antetokounmpo,5,2,0.71,0.29
justin robinson,0,1,0.0,1.0
bobby portis,6,1,0.86,0.14
semi ojeleye,2,1,0.67,0.33
jrue holiday,12,5,0.71,0.29
khris middleton,9,1,0.9,0.1
sandro mamukelashvili,0,1,0.0,1.0
brook lopez,11,2,0.85,0.15
donte divincenzo,0,1,0.0,1.0
anthony edwards,32,12,0.73,0.27
karl anthony towns,4,2,0.67,0.33
malik beasley,2,2,0.5,0.5
jaden mcdaniels,0,4,0.0,1.0
jarred vanderbilt,0,1,0.0,1.0
d'angelo russell,3,2,0.6,0.4
patrick beverley,0,1,0.0,1.0
taurean prince,1,1,0.5,0.5
jordan mclaughlin,0,1,0.0,1.0
jonas valanciunas,8,5,0.62,0.38
nickeil alexander-walker,0,4,0.0,1.0
devonte graham,8,2,0.8,0.2
trey murphy iii,3,1,0.75,0.25
jaxson hayes,1,1,0.5,0.5
garrett temple,0,1,0.0,1.0
herb jones,11,9,0.55,0.45
kira lewis jr,0,4,0.0,1.0
josh hart,2,1,0.67,0.33
brandon ingram,11,4,0.73,0.27
willy hernangomez,0,1,0.0,1.0
zion williamson,28,16,0.64,0.36
julius randle,44,15,0.75,0.25
rj barrett,43,12,0.78,0.22
derrick rose,33,8,0.8,0.2
evan fournier,22,6,0.79,0.21
alec burks,0,1,0.0,1.0
immanuel quickley,4,2,0.67,0.33
obi toppin,13,7,0.65,0.35
kemba walker,12,5,0.71,0.29
taj gibson,2,1,0.67,0.33
jericho sims,0,1,0.0,1.0
miles mcbride,2,1,0.67,0.33
kevin knox,2,2,0.5,0.5
shai gilgeous-alexander,10,5,0.67,0.33
darius bazley,5,4,0.56,0.44
josh giddey,20,5,0.8,0.2
luguentz dort,20,6,0.77,0.23
derrick favors,4,1,0.8,0.2
mike muscala,6,1,0.86,0.14
ty jerome,8,2,0.8,0.2
tre mann,4,2,0.67,0.33
theo maledon,0,1,0.0,1.0
isaiah roby,0,2,0.0,1.0
gabriel deck,0,1,0.0,1.0
cole anthony,41,15,0.73,0.27
franz wagner,29,2,0.94,0.06
wendell carter jr,11,1,0.92,0.08
mo bamba,63,21,0.75,0.25
terrence ross,4,2,0.67,0.33
jalen suggs,31,6,0.84,0.16
gary harris,6,1,0.86,0.14
chuma okeke,1,1,0.5,0.5
markelle fultz,3,1,0.75,0.25
tyrese maxey,49,13,0.79,0.21
georges niang,14,5,0.74,0.26
seth curry,30,6,0.83,0.17
furkan korkmaz,16,5,0.76,0.24
andre drummond,17,7,0.71,0.29
paul reed,0,2,0.0,1.0
shake milton,0,3,0.0,1.0
danny green,13,9,0.59,0.41
joel embiid,26,24,0.52,0.48
tobias harris,1,1,0.5,0.5
matisse thybulle,10,1,0.91,0.09
isaiah joe,0,2,0.0,1.0
ben simmons,50,16,0.76,0.24
devin booker,21,7,0.75,0.25
chris paul,11,2,0.85,0.15
mikal bridges,4,3,0.57,0.43
javale mcgee,8,1,0.89,0.11
jae crowder,0,1,0.0,1.0
landry shamet,1,1,0.5,0.5
abdel nader,0,1,0.0,1.0
frank kaminsky,19,5,0.79,0.21
cameron payne,0,1,0.0,1.0
deandre ayton,16,3,0.84,0.16
jalen smith,0,1,0.0,1.0
chandler hutchison,0,1,0.0,1.0
ish wainright,4,2,0.67,0.33
cj mccollum,29,9,0.76,0.24
anfernee simons,3,1,0.75,0.25
jusuf nurkic,2,1,0.67,0.33
nassir little,2,1,0.67,0.33
robert covington,0,1,0.0,1.0
larry nance jr,9,1,0.9,0.1
damian lillard,13,7,0.65,0.35
norman powell,1,1,0.5,0.5
tony snell,0,1,0.0,1.0
greg brown iii,0,1,0.0,1.0
ben mclemore,10,2,0.83,0.17
quinn cook,0,2,0.0,1.0
harrison barnes,26,10,0.72,0.28
de'aaron fox,29,9,0.76,0.24
buddy hield,15,6,0.71,0.29
richaun holmes,12,5,0.71,0.29
davion mitchell,29,8,0.78,0.22
tyrese haliburton,0,3,0.0,1.0
tristan thompson,0,2,0.0,1.0
alex len,0,3,0.0,1.0
chimezie metu,1,1,0.5,0.5
damian jones,0,1,0.0,1.0
marvin bagley iii,6,5,0.55,0.45
louis king,60,31,0.66,0.34
dejounte murray,21,3,0.88,0.12
keldon johnson,6,3,0.67,0.33
devin vassell,7,1,0.88,0.12
lonnie walker,1,1,0.5,0.5
drew eubanks,1,1,0.5,0.5
bryn forbes,0,3,0.0,1.0
tre jones,0,2,0.0,1.0
doug mcdermott,3,1,0.75,0.25
thaddeus young,0,13,0.0,1.0
jakob poeltl,9,4,0.69,0.31
jock landale,0,2,0.0,1.0
joshua primo,1,1,0.5,0.5
og anunoby,50,19,0.72,0.28
gary trent jr,6,3,0.67,0.33
svi mykhailiuk,14,1,0.93,0.07
dalano banton,13,1,0.93,0.07
fred vanvleet,33,10,0.77,0.23
chris boucher,7,1,0.88,0.12
scottie barnes,92,30,0.75,0.25
precious achiuwa,11,1,0.92,0.08
khem birch,0,7,0.0,1.0
malachi flynn,0,1,0.0,1.0
goran dragic,9,1,0.9,0.1
pascal siakam,15,2,0.88,0.12
david johnson,0,1,0.0,1.0
yuta watanabe,0,1,0.0,1.0
bojan bogdanovic,3,1,0.75,0.25
jordan clarkson,10,2,0.83,0.17
rudy gobert,16,9,0.64,0.36
joe ingles,2,2,0.5,0.5
hassan whiteside,6,2,0.75,0.25
eric paschall,0,1,0.0,1.0
donovan mitchell,9,4,0.69,0.31
mike conley,4,1,0.8,0.2
jared butler,0,1,0.0,1.0
miye oni,1,1,0.5,0.5
montrezl harrell,7,2,0.78,0.22
kyle kuzma,36,7,0.84,0.16
aaron holiday,0,1,0.0,1.0
deni avdija,29,3,0.91,0.09
spencer dinwiddie,16,4,0.8,0.2
raul neto,0,2,0.0,1.0
corey kispert,0,3,0.0,1.0
daniel gafford,2,2,0.5,0.5
bradley beal,16,7,0.7,0.3
davis bertans,3,1,0.75,0.25
rui hachimura,5,1,0.83,0.17
thomas bryant,0,1,0.0,1.0
